system:index,featureID,.geo,longitude,latitude,name
0,95558_27735,"{""type"":""Point"",""coordinates"":[95.55828834821409,27.735484397190223]}",95.5582883482,27.7354843972,deleted
1,95783_27735,"{""type"":""Point"",""coordinates"":[95.78286716924397,27.735484397190223]}",95.7828671692,27.7354843972,deleted
2,96007_27735,"{""type"":""Point"",""coordinates"":[96.00744599027385,27.735484397190223]}",96.0074459903,27.7354843972,deleted
3,95558_27960,"{""type"":""Point"",""coordinates"":[95.55828834821409,27.960063218220103]}",95.5582883482,27.9600632182,ANPUM
4,95783_27960,"{""type"":""Point"",""coordinates"":[95.78286716924397,27.960063218220103]}",95.7828671692,27.9600632182,deleted
5,96007_27960,"{""type"":""Point"",""coordinates"":[96.00744599027385,27.960063218220103]}",96.0074459903,27.9600632182,deleted
6,95558_28185,"{""type"":""Point"",""coordinates"":[95.55828834821409,28.184642039249987]}",95.5582883482,28.1846420393,SESSERI
7,95783_28185,"{""type"":""Point"",""coordinates"":[95.78286716924397,28.184642039249987]}",95.7828671692,28.1846420393,DEOPANI
8,96007_28185,"{""type"":""Point"",""coordinates"":[96.00744599027385,28.184642039249987]}",96.0074459903,28.1846420393,deleted
9,95558_28409,"{""type"":""Point"",""coordinates"":[95.55828834821409,28.409220860279866]}",95.5582883482,28.4092208603,SINZEN
10,95783_28409,"{""type"":""Point"",""coordinates"":[95.78286716924397,28.409220860279866]}",95.7828671692,28.4092208603,ALUNDI
11,96007_28409,"{""type"":""Point"",""coordinates"":[96.00744599027385,28.409220860279866]}",96.0074459903,28.4092208603,EBRANLI
12,95558_28634,"{""type"":""Point"",""coordinates"":[95.55828834821409,28.633799681309746]}",95.5582883482,28.6337996813,ASHAN
13,95783_28634,"{""type"":""Point"",""coordinates"":[95.78286716924397,28.633799681309746]}",95.7828671692,28.6337996813,APRI
14,96007_28634,"{""type"":""Point"",""coordinates"":[96.00744599027385,28.633799681309746]}",96.0074459903,28.6337996813,TANGON
15,95558_28858,"{""type"":""Point"",""coordinates"":[95.55828834821409,28.858378502339626]}",95.5582883482,28.8583785023,ASON
16,95783_28858,"{""type"":""Point"",""coordinates"":[95.78286716924397,28.858378502339626]}",95.7828671692,28.8583785023,ELON
17,96007_28858,"{""type"":""Point"",""coordinates"":[96.00744599027385,28.858378502339626]}",96.0074459903,28.8583785023,RUSHON
18,95558_29083,"{""type"":""Point"",""coordinates"":[95.55828834821409,29.082957323369506]}",95.5582883482,29.0829573234,ANDRA
19,95783_29083,"{""type"":""Point"",""coordinates"":[95.78286716924397,29.082957323369506]}",95.7828671692,29.0829573234,MATHUN
20,96007_29083,"{""type"":""Point"",""coordinates"":[96.00744599027385,29.082957323369506]}",96.0074459903,29.0829573234,DRI
