system:index,95550_27945,95550_27994,95600_27945,95600_27994,imageID,date_time
19810101_0,0,0,0,0,19810101,1981-01-01T00:00:00
19810102_0,0,0,0,0,19810102,1981-01-02T00:00:00
19810103_0,0,0,0,0,19810103,1981-01-03T00:00:00
19810104_0,0,0,0,0,19810104,1981-01-04T00:00:00
19810105_0,0,0,0,0,19810105,1981-01-05T00:00:00
19810106_0,0,0,0,0,19810106,1981-01-06T00:00:00
19810107_0,13.0107326508,13.1745014191,13.0107326508,13.1745014191,19810107,1981-01-07T00:00:00
19810108_0,0,0,0,0,19810108,1981-01-08T00:00:00
19810109_0,0,0,0,0,19810109,1981-01-09T00:00:00
19810110_0,0,0,0,0,19810110,1981-01-10T00:00:00
19810111_0,0,0,0,0,19810111,1981-01-11T00:00:00
19810112_0,0,0,0,0,19810112,1981-01-12T00:00:00
19810113_0,6.3746204376,6.5779275894,6.3746204376,6.5779275894,19810113,1981-01-13T00:00:00
19810114_0,0,0,0,0,19810114,1981-01-14T00:00:00
19810115_0,0,0,0,0,19810115,1981-01-15T00:00:00
19810116_0,0,0,0,0,19810116,1981-01-16T00:00:00
19810117_0,0,0,0,0,19810117,1981-01-17T00:00:00
19810118_0,0,0,0,0,19810118,1981-01-18T00:00:00
19810119_0,0,0,0,0,19810119,1981-01-19T00:00:00
19810120_0,0,0,0,0,19810120,1981-01-20T00:00:00
19810121_0,0,0,0,0,19810121,1981-01-21T00:00:00
19810122_0,12.4612731934,12.822763443,12.4612731934,12.822763443,19810122,1981-01-22T00:00:00
19810123_0,0,0,0,0,19810123,1981-01-23T00:00:00
19810124_0,0,0,0,0,19810124,1981-01-24T00:00:00
19810125_0,0,0,0,0,19810125,1981-01-25T00:00:00
19810126_0,0,0,0,0,19810126,1981-01-26T00:00:00
19810127_0,0,0,0,0,19810127,1981-01-27T00:00:00
19810128_0,0,0,0,0,19810128,1981-01-28T00:00:00
19810129_0,0,0,0,0,19810129,1981-01-29T00:00:00
19810130_0,13.410525322,13.9524345398,13.410525322,13.9524345398,19810130,1981-01-30T00:00:00
19810131_0,10.3972959518,10.8174438477,10.3972959518,10.8174438477,19810131,1981-01-31T00:00:00
19810201_0,21.9341201782,23.1499481201,21.9341201782,23.1499481201,19810201,1981-02-01T00:00:00
19810202_0,0,0,0,0,19810202,1981-02-02T00:00:00
19810203_0,0,0,0,0,19810203,1981-02-03T00:00:00
19810204_0,0,0,0,0,19810204,1981-02-04T00:00:00
19810205_0,0,0,0,0,19810205,1981-02-05T00:00:00
19810206_0,0,0,0,0,19810206,1981-02-06T00:00:00
19810207_0,12.8164720535,13.3808670044,12.8164720535,13.3808670044,19810207,1981-02-07T00:00:00
19810208_0,0,0,0,0,19810208,1981-02-08T00:00:00
19810209_0,0,0,0,0,19810209,1981-02-09T00:00:00
19810210_0,5.5017051697,5.7439813614,5.5017051697,5.7439813614,19810210,1981-02-10T00:00:00
19810211_0,14.9296360016,15.56346035,14.9296360016,15.56346035,19810211,1981-02-11T00:00:00
19810212_0,0,0,0,0,19810212,1981-02-12T00:00:00
19810213_0,0,0,0,0,19810213,1981-02-13T00:00:00
19810214_0,0,0,0,0,19810214,1981-02-14T00:00:00
19810215_0,0,0,0,0,19810215,1981-02-15T00:00:00
19810216_0,0,0,0,0,19810216,1981-02-16T00:00:00
19810217_0,3.7088389397,3.9325678349,3.7088389397,3.9325678349,19810217,1981-02-17T00:00:00
19810218_0,3.5250673294,3.7377109528,3.5250673294,3.7377109528,19810218,1981-02-18T00:00:00
19810219_0,0,0,0,0,19810219,1981-02-19T00:00:00
19810220_0,0,0,0,0,19810220,1981-02-20T00:00:00
